uid,label,mean_step_speed,stddev_step_speed,track_length,e2e_distance,duration,squared_residual_sum,squared_angle_sum
lab_0_0,0,0.1730878285772176,0.10014095198813815,51.926348573165285,40.40877174574849,300.0,397.25711965059213,127888.14012922294
lab_0_1,0,0.1650476614328481,0.08619363543140106,49.514298429854435,32.95732246405949,300.0,522.493413932687,202990.90832844056
lab_0_2,0,0.16738812570567846,0.09917697333255542,50.216437711703534,31.649486141168218,300.0,595.0567902474211,157156.1119553972
lab_0_3,0,0.21592692177618394,0.10979698441029707,64.77807653285518,42.52494808932751,300.0,845.6534336284718,149529.56398383935
lab_0_4,0,0.09778595893060893,0.0969844810748326,29.33578767918268,1.616935682085197,300.0,409.44775903410283,128506.16208570676
lab_0_5,1,3.263915719831237,0.7418042588539931,381.87813922025475,339.8043588243093,117.0,442439.61335518275,2630.7804167630793
lab_0_6,1,1.9504918201789678,0.821394668120148,306.22721576809795,147.71040836718308,157.0,209368.2648515926,72131.61373238359
lab_1_0,1,4.621280730051717,2.5911162743856155,1386.3842190155153,961.6761409123136,300.0,1235265.7593264892,585295.9968603854
lab_1_1,0,0.12528391629707983,0.0069354392266313195,37.58517488912395,36.49657518178932,300.0,195.06054474260833,2329.0989014265915
lab_1_2,0,0.11180397130839168,0.05590234341843211,2.2360794261678336,2.23606797749979,20.0,1.177708978250723e-06,2.016952778980553
lab_1_3,1,12.513858438965908,3.0595350250522833,1126.2472595069316,1085.7927979131193,90.0,333627.3781672815,5974.585201852758
lab_1_4,0,6.274431987095902,0.8405374704959769,250.97727948383607,247.54191564258366,40.0,75.36938063493963,5206.464247455295
lab_1_5,1,7.7445549672350165,3.0349393031428376,867.3901563303218,255.01764644824092,112.0,1193497.8839923844,60628.68289748618
lab_1_6,1,13.423882295707177,3.3298077200006366,1141.02999513511,1045.1913700370856,85.0,142133.0273419632,13629.634751231104
lab_1_7,1,4.042375201204968,1.220241852868358,189.9916344566335,146.57762448614045,47.0,3238.5210529970363,60939.01833395994
lab_1_8,1,5.361343395001338,2.319697609792176,42.890747160010704,42.2965719651132,8.0,257.49999999999784,980.9932060876373
lab_1_9,1,15.265199339138315,1.818522056425069,45.795598017414946,45.79301256742124,3.0,0.10071942446038913,3.018323059973765
lab_2_0,1,8.566769506125334,4.8895649986455805,436.905244812392,380.1473398565351,51.0,365356.11166714557,82763.5832460666
lab_2_1,1,6.789065377066827,3.2451956492599114,862.211302887487,688.7437840009883,127.0,4524839.54747509,47020.149847498884
lab_2_2,1,14.027560283552868,1.8884398440198866,659.2953333269847,641.0818980442358,47.0,28489.196510519796,3313.5641193087895
lab_2_3,1,8.696963940553196,2.439224173454702,791.4237185903409,585.702996406882,91.0,1469387.086298263,19504.584025794215
